Country,forest:good:degraded,forest:marginal:degraded,forest:poor:degraded,forest:verypoor:degraded,forest:good:nondegraded,forest:marginal:nondegraded,forest:poor:nondegraded,forest:verypoor:nondegraded,cropland:good:degraded,cropland:marginal:degraded,cropland:poor:degraded,cropland:verypoor:degraded,cropland:good:nondegraded,cropland:marginal:nondegraded,cropland:poor:nondegraded,cropland:verypoor:nondegraded,grassland:good:degraded,grassland:marginal:degraded,grassland:poor:degraded,grassland:verypoor:degraded,grassland:good:nondegraded,grassland:marginal:nondegraded,grassland:poor:nondegraded,grassland:verypoor:nondegraded,bare:good:degraded,bare:marginal:degraded,bare:poor:degraded,bare:verypoor:degraded,bare:good:nondegraded,bare:marginal:nondegraded,bare:poor:nondegraded,bare:verypoor:nondegraded,urban:good:degraded,urban:marginal:degraded,urban:poor:degraded,urban:verypoor:degraded,urban:good:nondegraded,urban:marginal:nondegraded,urban:poor:nondegraded,urban:verypoor:nondegraded,water:good:degraded,water:marginal:degraded,water:poor:degraded,water:verypoor:degraded,water:good:nondegraded,water:marginal:nondegraded,water:poor:nondegraded,water:verypoor:nondegraded,ice:good:degraded,ice:marginal:degraded,ice:poor:degraded,ice:verypoor:degraded,ice:good:nondegraded,ice:marginal:nondegraded,ice:poor:nondegraded,ice:verypoor:nondegraded
Rwanda,57.80,54.20,20.50,0.85,970.18,853.00,239.78,156.84,426.07,109.62,52.58,22.97,3166.84,1026.19,453.86,358.10,1059.78,447.53,203.32,124.44,6239.04,2700.00,1696.84,1796.54,0.00,0.00,0.00,0.00,0.00,0.09,0.28,0.00,59.61,7.78,16.33,0.28,36.45,11.96,11.11,1.52,3.51,10.44,0.28,1.80,51.06,258.37,125.30,105.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saint Kitts and Nevis,0.00,25.23,0.00,0.00,0.00,58.02,2.72,0.00,0.00,3.27,0.00,0.00,0.00,19.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.17,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.17,3.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saint Lucia,0.00,0.00,13.57,0.00,20.84,113.56,274.69,0.00,0.00,0.00,0.00,0.00,0.00,3.97,4.24,0.00,0.00,0.00,1.38,0.00,0.00,3.87,18.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.75,1.11,0.00,0.00,0.00,0.00,0.00,3.23,9.50,1.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saint Vincent and the Grenadines,0.00,0.00,0.00,0.00,0.00,0.00,215.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Samoa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
San Marino,0.00,0.69,0.00,0.00,0.00,3.03,0.00,0.00,0.00,2.62,0.00,0.00,0.00,24.44,0.00,0.00,0.00,4.96,0.00,0.00,0.00,16.80,0.00,0.00,0.00,0.62,0.00,0.00,0.00,1.31,0.00,0.00,0.00,1.03,0.00,0.00,0.00,5.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saudi Arabia,5.99,9.28,2.69,143.18,57.34,47.17,8.96,93.08,450.60,463.28,230.61,196.19,395.79,942.04,277.54,122.93,4917.95,8336.41,9565.39,18698.67,5555.92,18972.44,13040.53,11529.43,10640.76,26995.47,12600.36,11321.93,325938.03,752359.77,392624.40,182543.94,30.01,127.91,51.00,22.55,536.15,1533.46,989.27,50.15,46.69,14.97,4.98,1.38,768.22,115.72,28.40,46.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Senegal,685.20,135.13,23.79,0.09,16733.03,10397.26,2224.00,907.85,5683.78,429.70,124.60,1.38,36505.47,7262.44,1479.81,945.65,2840.51,381.75,68.42,0.19,51934.29,35307.91,4456.78,2847.73,2.02,0.28,0.09,0.00,63.31,3.40,0.18,0.37,226.91,9.50,25.93,0.00,163.35,28.11,12.96,1.66,127.60,15.69,2.69,0.00,2459.89,312.40,15.30,9.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Serbia,92.04,17.35,7.08,4.32,19124.06,2680.34,2268.16,1034.32,1451.48,153.36,81.01,27.91,21206.72,2159.07,2094.57,1014.18,1774.91,106.16,127.36,40.87,15670.55,1011.53,1225.60,661.52,2.24,0.00,0.00,0.00,11.08,2.09,0.56,0.07,127.64,14.50,6.65,0.07,1102.61,76.53,36.06,5.76,30.24,0.00,0.00,0.00,704.21,28.84,16.21,18.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Seychelles,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sierra Leone,948.42,867.56,311.46,284.68,6105.66,7185.24,2339.85,971.90,3518.76,1962.57,483.15,65.32,14257.05,7918.98,1725.66,242.47,1025.58,1562.96,650.10,106.97,6799.91,6854.93,2249.08,369.12,11.64,0.00,0.00,0.09,31.92,0.00,0.00,0.19,52.53,44.83,15.99,0.19,39.30,19.56,2.06,0.00,26.25,2.16,0.00,0.00,314.86,29.74,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Singapore,0.09,0.00,0.00,0.00,34.09,0.00,0.00,0.00,1.04,0.00,0.00,0.00,55.45,0.00,0.00,0.00,4.75,0.00,0.00,0.00,84.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.56,0.00,0.00,0.00,123.44,0.00,0.00,0.00,0.66,0.00,0.00,0.00,24.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Slovakia,20.02,170.32,116.22,25.98,2596.51,12136.06,3934.49,1773.78,74.22,20.16,5.59,0.38,3125.36,3246.89,481.80,93.37,494.07,143.40,82.30,7.22,10606.13,4879.14,1249.45,499.16,0.00,0.13,0.13,0.31,0.00,2.13,10.01,22.46,27.51,4.66,1.45,0.00,1162.11,618.04,126.25,33.30,1.84,0.50,0.31,0.00,140.21,83.03,25.86,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Slovenia,7.25,41.91,61.41,62.08,1673.11,3886.63,3304.77,1868.66,21.42,18.87,16.92,2.25,1666.36,930.79,488.73,141.40,70.35,33.59,42.79,12.59,1805.09,1463.36,884.65,350.76,0.00,0.00,0.00,0.00,0.07,2.26,0.66,14.58,8.42,3.18,3.63,0.92,115.14,152.81,99.24,19.22,2.08,0.73,0.00,0.00,12.02,14.19,7.52,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Solomon Islands,3023.95,664.19,3.28,3.35,12124.98,4658.26,153.00,23.64,27.89,8.62,0.00,0.00,77.94,84.40,0.47,0.00,12.27,4.03,0.00,0.00,31.13,26.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.09,0.00,0.00,2.06,0.56,0.00,0.00,26.77,19.35,1.78,0.00,649.90,352.33,22.47,9.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Somalia,2709.72,570.13,506.09,858.69,1247.83,396.25,318.46,257.83,12883.15,2879.78,1517.53,1593.05,13600.60,4027.53,4231.24,5743.96,68581.30,15091.29,10106.07,12081.64,140724.52,72215.53,60827.17,47976.16,3745.96,748.44,1175.68,1064.42,16252.34,9060.56,9365.68,5157.77,64.89,16.59,17.73,4.87,126.46,84.25,43.55,25.57,98.38,4.94,3.12,1.89,700.35,96.09,73.92,29.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
South Africa,5600.98,1624.93,1572.36,1496.90,28296.41,7407.62,6092.22,6694.57,6217.31,2191.26,1020.08,646.38,27175.13,7152.45,3448.84,2294.62,168413.21,68159.75,41149.42,35162.90,364807.65,149447.03,96725.22,70399.14,716.60,178.11,119.35,198.50,884.71,673.02,590.76,720.47,1478.71,594.00,476.47,117.00,2343.64,876.86,875.63,155.25,457.02,273.34,156.53,107.04,1577.15,754.94,581.78,446.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
South Sudan,14657.12,3372.19,5022.19,4274.96,104265.96,27202.38,58902.05,21834.60,1959.87,1767.30,1162.06,2215.76,3506.26,1881.25,3292.73,6392.90,20276.57,10857.73,13277.00,23786.71,83509.10,38367.46,53309.45,111192.86,1.61,0.75,0.28,0.65,217.29,18.92,2.25,0.37,36.98,2.17,15.90,25.14,3.58,2.73,5.38,2.53,275.78,82.11,21.83,127.72,784.45,270.85,59.79,274.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spain,3268.82,10785.37,4688.44,2014.11,9135.02,36860.97,32199.68,24749.51,3545.34,8612.91,3499.85,657.01,14081.46,32433.54,15400.46,4205.98,8270.80,20972.23,11999.01,3492.39,30066.63,96994.57,74167.09,28987.02,808.74,106.48,97.82,61.21,1601.91,693.81,503.77,410.19,414.86,943.95,314.28,57.21,948.96,2656.68,946.92,277.37,162.43,238.15,214.68,41.02,564.73,1075.35,1156.56,450.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sri Lanka,2170.61,648.38,88.55,3.77,8472.60,1769.86,188.21,53.05,8993.80,1478.11,260.58,17.05,11147.38,1626.89,238.59,11.97,6013.88,1219.38,274.24,33.45,12363.39,3091.96,690.90,135.12,1.87,0.00,0.19,0.00,8.52,0.00,0.19,0.00,529.08,81.55,0.28,0.00,345.62,17.75,0.19,0.00,302.18,136.50,8.66,0.00,848.54,161.67,18.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sudan,3787.07,2067.97,5773.79,5696.73,9998.99,4632.02,11955.30,11071.33,22311.03,7030.36,20411.77,37028.66,133245.31,17015.22,25642.33,51698.13,33065.69,16363.29,25561.86,34011.09,191863.59,54768.81,61778.01,72064.83,3356.40,900.81,975.01,2317.53,502020.71,171359.20,140430.26,92978.08,88.88,34.81,72.37,47.66,378.09,182.52,490.09,169.37,49.23,87.89,272.87,407.87,459.59,648.97,777.49,893.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Suriname,22490.89,1357.55,264.44,143.96,103055.26,5167.12,1879.20,707.60,63.04,1.42,0.19,0.00,367.24,0.00,0.09,0.00,770.60,34.88,4.17,2.18,2306.53,74.75,32.32,11.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.99,0.28,0.00,0.00,53.34,1.33,0.00,0.09,113.46,6.81,3.22,1.33,396.47,41.74,67.31,83.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Swaziland,230.59,210.14,125.46,98.38,1211.60,1958.04,1567.81,562.76,49.91,76.41,56.53,26.42,815.98,1522.03,1077.76,190.41,175.87,127.18,178.65,33.65,1580.12,2621.47,1786.41,229.95,0.00,5.47,0.51,0.00,15.26,141.41,92.91,3.51,2.64,0.26,0.00,0.00,23.34,11.67,6.66,0.00,7.92,11.78,0.77,0.00,15.21,11.53,13.13,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sweden,1243.78,14783.72,2283.24,42.44,17450.25,197513.06,25631.44,940.96,673.63,1179.63,355.75,0.85,7513.98,17613.49,2019.86,14.79,1031.47,4843.41,601.53,45.20,10081.99,41314.06,5092.98,1169.53,1.06,26.30,6.23,0.58,5.69,73.76,28.60,4.36,50.05,50.22,26.84,0.00,447.07,838.73,230.25,0.52,78.91,1062.57,123.84,1.90,2469.84,18255.18,2121.57,151.62,0.00,2.42,0.00,0.00,0.00,0.51,0.00,0.00
Switzerland,51.35,186.12,199.27,148.97,1582.26,3710.17,3928.75,1751.60,53.66,23.00,8.04,5.18,1044.88,517.83,223.82,118.02,372.21,352.50,278.48,304.42,4599.26,5080.39,4612.51,3577.11,0.00,2.64,35.60,163.99,0.07,38.58,330.35,844.00,18.76,20.90,4.04,0.20,555.95,622.32,338.45,165.94,1.50,5.35,4.73,3.09,61.61,268.15,363.93,171.22,0.00,0.00,3.28,23.33,0.00,0.07,9.99,82.12
Syrian Arab Republic,16.78,39.78,4.97,1.55,58.82,193.18,30.53,9.11,5694.56,2516.57,957.68,267.03,9743.14,6420.58,4911.13,2062.13,4185.44,2106.39,830.05,296.24,8902.80,6460.80,6364.13,2691.61,15712.07,10366.72,3019.46,1232.88,20651.41,49163.71,13040.69,2796.32,432.80,125.38,48.54,7.06,330.76,250.43,262.43,87.01,186.09,78.30,23.47,0.62,554.30,291.19,88.62,24.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
São Tomé and Principe,115.59,42.45,0.00,0.00,294.52,170.66,0.00,0.00,9.97,0.09,0.00,0.00,13.49,11.20,0.00,0.00,5.51,0.19,0.00,0.00,8.26,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.46,0.00,0.00,0.00,2.09,0.28,0.00,0.00,3.80,0.00,0.00,0.00,18.43,9.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Taiwan,3821.71,700.59,375.68,225.89,10925.11,3547.62,1341.03,305.17,1261.61,252.20,7.14,2.70,5329.17,851.66,52.00,27.23,510.32,101.30,11.99,2.54,2274.61,350.34,60.92,7.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,472.99,44.10,2.90,22.34,958.60,150.95,1.58,105.01,60.21,12.95,0.70,0.00,444.85,88.72,7.25,17.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tajikistan,0.44,7.79,30.46,16.41,76.69,186.31,252.87,111.63,2343.28,200.15,201.85,117.56,14125.31,2536.92,2816.51,976.87,2238.64,423.66,1075.53,1413.21,13624.07,7862.29,12260.18,11362.80,1154.59,165.53,244.33,219.53,2209.57,1233.71,1469.23,808.68,164.12,0.22,0.00,0.00,379.34,4.68,3.71,7.40,56.35,3.07,6.83,6.64,666.23,35.07,50.26,17.78,0.00,36.96,90.48,71.33,0.00,62.99,191.25,261.60
Thailand,3326.26,13169.54,640.32,35.98,18557.90,45642.08,1731.20,61.93,47415.74,12156.64,1204.34,12.02,169790.17,29684.47,6531.10,244.91,13914.68,14912.14,662.28,8.63,63601.94,51848.80,3068.80,44.84,0.37,0.00,0.00,0.00,0.55,0.00,0.00,0.00,1642.88,32.03,13.49,0.28,2169.78,79.48,25.71,3.85,755.77,209.26,26.16,0.00,4737.77,1723.50,138.98,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
The former Yugoslav Republic of Macedonia,30.59,27.83,27.14,16.39,4229.02,1957.07,1938.10,1195.78,86.27,4.38,12.21,4.03,3070.57,582.15,611.31,396.48,141.55,44.50,55.55,90.68,5220.19,1179.28,1375.62,1169.30,1.28,3.64,3.12,1.42,59.74,42.23,57.34,30.57,3.94,0.29,0.43,0.07,223.58,42.29,46.20,11.36,0.79,0.00,0.00,0.00,73.06,41.19,14.42,65.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Timor-Leste,239.01,241.90,214.86,144.32,308.91,271.40,448.43,328.75,670.89,582.98,536.97,402.55,870.47,869.47,1208.10,789.55,721.44,415.86,386.97,255.73,1146.51,749.47,965.26,762.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.85,1.78,2.53,0.56,16.60,1.13,7.51,1.31,28.75,3.00,1.03,0.00,96.11,32.48,9.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Togo,494.60,1858.97,455.12,73.25,3001.83,11932.29,3052.76,422.05,1011.34,1462.88,205.87,40.07,9660.84,8701.40,1498.98,856.78,187.70,379.72,58.92,4.99,4615.30,4150.36,869.15,249.81,0.38,0.00,0.00,0.00,0.09,0.00,0.00,0.00,164.59,11.28,0.38,0.00,39.91,36.90,11.79,3.48,9.43,8.00,0.00,0.28,73.31,98.78,0.56,30.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tonga,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Trinidad and Tobago,713.08,260.90,112.36,0.00,640.53,959.93,460.05,0.00,156.95,90.41,36.38,0.00,123.68,83.49,41.61,0.00,105.17,122.96,37.68,0.00,109.95,153.25,65.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.38,2.90,4.30,0.00,54.73,4.48,2.24,0.00,6.35,4.11,1.12,0.00,24.27,24.04,16.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tunisia,158.70,235.90,256.61,0.54,400.55,884.03,721.34,2.02,3155.06,2370.54,1067.53,103.95,6120.82,6851.02,3916.18,719.94,1853.07,1975.21,1802.75,232.07,5838.01,10892.05,11078.01,1512.77,1763.50,1089.40,885.20,366.14,27901.58,15286.23,7212.31,5404.30,210.67,125.49,26.63,3.46,306.20,212.17,52.23,9.68,74.40,31.67,18.60,0.70,146.94,142.87,226.22,5.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Turkey,1909.88,4338.86,996.13,558.97,9010.27,56840.52,17550.65,5317.91,8539.73,8546.59,3182.19,710.78,65806.89,81698.51,40404.02,6410.87,8328.52,14998.99,5812.62,2040.79,86858.67,174464.30,103787.94,21101.11,469.51,531.45,284.50,130.40,2943.87,4328.06,3598.43,1089.18,1253.10,914.79,228.90,105.65,1566.18,2090.04,429.15,206.58,345.54,388.36,121.87,71.85,2139.77,3213.57,1034.68,452.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Turkmenistan,8.97,10.94,7.34,1.37,22.39,13.74,5.18,4.60,7418.19,1708.06,766.03,70.80,25462.89,3600.36,2401.90,226.24,21666.43,5065.28,7342.34,416.57,40575.19,6087.07,11508.19,1190.74,35226.19,7265.83,15644.00,901.27,100496.05,27139.15,114153.91,19862.70,107.58,40.43,4.21,2.57,319.58,50.34,8.60,7.77,236.66,174.25,103.39,82.79,1349.11,1454.51,798.75,719.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tuvalu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Uganda,3754.77,2123.02,2307.32,2001.19,17060.43,8384.68,7133.89,5003.70,17343.35,2801.70,1735.41,909.37,52030.95,11290.53,7685.07,3066.78,4005.71,2769.37,1677.92,598.70,21495.16,10655.75,7707.30,2423.31,0.09,0.47,0.00,0.00,0.19,0.95,0.00,0.00,338.19,92.79,6.74,3.42,91.82,17.09,10.25,15.57,172.98,200.79,101.77,32.75,781.25,935.57,913.21,566.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ukraine,2101.78,313.67,67.99,13.67,63163.45,13733.44,1853.65,1116.85,102912.38,319.10,121.15,123.13,254071.08,4783.24,1640.03,1755.98,19875.11,91.92,29.69,36.42,57499.45,2765.84,719.56,694.80,40.35,0.65,0.07,0.00,80.06,2.16,0.50,0.06,2283.49,12.67,12.57,12.33,20587.80,608.02,169.37,168.56,451.77,14.65,17.50,15.12,5395.67,696.22,636.25,879.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
United Arab Emirates,0.78,0.26,0.60,0.09,33.19,23.91,4.37,0.60,0.26,0.17,0.17,0.95,0.17,3.47,1.30,0.60,273.84,247.56,270.83,815.76,511.83,747.93,647.03,704.60,260.68,521.53,128.19,54.02,9086.12,11201.46,5971.72,10710.01,83.60,40.49,13.65,14.73,511.38,617.73,192.12,179.23,1.13,3.89,0.00,0.34,55.19,34.60,1.63,1.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
United Kingdom,2684.30,404.66,98.83,53.71,7894.66,1897.61,454.38,103.34,463.30,88.61,31.91,2.39,3691.72,583.23,178.07,23.10,21314.27,6494.87,2194.31,494.18,128394.75,27648.69,8536.70,1697.14,21.75,10.89,9.47,16.37,200.27,61.04,41.56,30.58,666.99,269.60,141.44,108.46,5460.06,2039.49,1188.85,893.24,192.07,62.72,26.68,11.37,1998.44,627.82,294.49,134.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
United Republic of Tanzania,77949.27,16297.15,8294.24,1732.90,139008.41,77925.55,22485.96,6888.81,20425.88,25194.85,16854.47,2671.26,24650.62,23856.39,13689.24,1906.47,59810.67,39753.49,29127.03,3944.76,121288.56,78942.74,36441.07,7767.79,815.02,158.49,168.19,45.28,568.91,176.21,200.50,58.50,330.70,53.20,11.33,2.37,259.29,131.19,27.08,7.00,297.01,86.59,122.92,64.18,4294.05,1322.18,1321.05,976.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
United States of America,350139.75,89206.33,21306.23,6705.05,1617004.38,306562.16,87389.62,17228.57,30426.49,9916.10,2524.43,2904.97,92147.64,16048.47,3815.31,2369.98,737535.11,182052.68,39389.93,22958.91,3429372.23,601465.64,102595.14,40030.05,11990.50,11096.68,2463.85,1650.60,42078.44,23194.42,4829.93,3046.85,17786.02,1773.36,334.62,2873.43,101306.49,5623.81,816.80,2692.45,10191.07,1999.65,482.72,327.80,93592.39,18076.06,6021.14,2215.90,576.15,2026.36,605.68,855.02,1029.16,3362.25,1460.23,2367.92
Uruguay,2271.38,444.23,30.69,145.40,10095.92,3197.81,121.41,575.96,6030.89,1386.90,65.56,1274.55,10217.57,2097.41,113.95,983.92,20419.23,7440.39,328.39,6578.14,47357.31,17908.20,985.15,11649.10,2.92,1.54,0.00,0.55,6.59,0.57,0.00,0.00,149.88,14.01,1.48,0.25,345.18,8.51,3.21,0.65,136.38,33.91,28.09,94.33,1060.57,233.17,31.39,241.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Uzbekistan,3.26,4.53,1.72,0.00,113.37,119.69,135.73,32.42,12329.02,251.56,88.64,38.19,63246.08,2237.92,1640.23,314.95,18129.29,1251.72,4005.31,2835.31,39184.03,7065.46,12984.00,11146.38,40913.49,3169.44,5662.28,3622.03,83476.15,15066.66,31074.20,26478.00,599.03,22.52,15.35,0.65,3058.22,65.23,17.53,5.54,90.40,46.38,39.99,39.76,1317.38,1477.40,1419.80,1254.97,0.00,0.00,23.73,10.56,0.00,2.89,142.41,71.13
Vanuatu,5269.90,826.65,5.79,0.00,1143.00,725.19,11.58,0.00,220.71,9.97,0.00,0.00,59.81,0.54,0.00,0.00,142.44,18.85,0.00,0.00,24.33,0.27,0.00,0.00,4.29,0.00,0.00,0.00,18.53,0.00,0.00,0.00,0.82,0.00,0.00,0.00,0.27,0.00,0.00,0.00,55.37,0.27,0.00,0.00,378.00,196.17,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Venezuela,24409.54,4890.98,2639.40,7011.45,237449.68,57437.95,41908.47,65226.13,12357.88,4184.26,812.79,307.19,44569.17,14335.40,5555.86,1164.98,43965.61,8591.62,3557.85,1712.14,173692.17,41614.93,30967.75,7463.17,28.45,18.97,31.57,21.18,86.84,170.05,210.90,87.12,862.13,169.93,53.76,10.48,1182.50,190.96,119.29,27.88,1306.52,139.34,111.05,16.75,7376.66,1022.74,1159.46,250.84,0.00,0.19,0.00,0.00,0.00,0.38,0.00,0.00
Vietnam,7303.61,22423.65,1080.91,197.75,16820.03,42166.25,1824.53,384.38,24309.19,9235.96,1934.71,294.25,58869.34,15747.05,1964.95,699.19,12567.86,21133.80,3236.09,349.90,27840.69,39214.78,4356.00,689.15,8.23,1.86,0.00,0.09,129.53,6.89,0.00,0.56,1748.28,105.31,92.01,4.83,1104.01,132.26,37.67,3.61,1300.92,197.63,26.06,6.77,4322.84,755.02,52.29,56.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Western Sahara,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.00,0.00,25.76,19.76,54.66,3312.52,36777.64,24924.30,13801.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62,0.00,14.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yemen,120.90,150.37,477.85,834.83,57.71,186.69,531.68,1038.02,574.88,267.37,283.99,402.77,632.07,341.77,536.55,1995.01,5726.06,3157.48,4966.29,7175.52,4881.93,7031.89,10179.90,20808.43,3949.48,1419.70,1613.92,1772.07,33905.57,109360.04,97987.48,73440.68,22.86,27.24,15.69,14.77,160.05,56.38,21.57,15.24,31.92,3.23,14.86,13.56,292.16,67.69,47.37,83.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Zambia,15953.61,3209.80,1079.17,567.30,335955.79,67843.41,17212.16,7301.28,9942.02,280.40,245.68,132.47,41911.84,2803.60,1386.60,652.57,18820.49,1206.46,555.72,228.83,177699.38,15816.97,9555.10,4119.58,7.55,10.87,0.83,0.00,12.20,9.99,1.29,0.00,104.97,61.50,0.00,0.00,357.70,209.76,0.85,0.36,272.99,31.94,109.20,20.06,2685.29,574.83,726.90,543.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Zimbabwe,21690.52,8721.34,3295.55,2843.98,37329.75,12691.06,6631.18,7733.31,21029.17,6051.83,2426.75,2687.20,38954.62,10688.75,4465.51,3012.81,44156.40,13116.63,5726.02,5124.26,59022.69,18489.85,10496.52,11109.74,57.42,39.89,27.48,27.73,340.41,159.68,108.59,138.55,45.77,31.98,4.92,3.32,333.80,184.59,10.74,21.27,221.56,77.29,26.58,42.62,448.48,282.04,178.84,127.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
