Country,10,11,12,20,30,40,50,60,61,62,70,71,72,80,81,82,90,100,110,120,121,122,130,140,150,151,152,153,160,170,180,190,200,201,202,210,220
Comoros,2.14,108.59,0.00,0.00,0.28,59.56,797.91,81.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,389.66,2.14,17.96,0.00,0.19,6.52,0.00,0.00,0.00,0.00,0.00,0.00,3.35,0.00,23.72,0.00,0.00,0.00,177.09,0.00
Congo,7742.09,13819.14,0.00,0.00,7907.07,4994.03,179106.16,1154.92,1.04,38185.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23188.31,4535.48,10708.40,0.00,0.00,7278.14,0.00,0.00,0.00,0.00,0.00,40933.47,837.64,816.21,294.93,1.90,0.19,0.00,3386.30,0.00
Cook Islands,1.60,0.80,0.00,0.00,33.97,12.25,69.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.36,0.00,0.18,0.00,0.00,0.00,73.70,0.00
Costa Rica,2753.59,269.66,0.56,0.00,1440.26,9086.84,32185.74,3286.49,0.00,0.00,0.00,0.00,0.00,3.55,0.00,0.00,3.46,195.10,111.87,4.12,0.00,0.00,96.93,0.00,0.00,0.00,0.00,0.00,172.42,354.30,32.36,435.26,21.02,0.00,0.00,688.60,0.00
Croatia,6413.20,11124.94,519.58,115.91,5314.39,140.83,0.00,17593.08,70.10,0.00,1778.63,0.00,0.00,2.02,0.00,0.00,2401.88,3596.36,26.78,762.29,0.00,0.00,2833.92,0.00,259.10,0.00,0.00,0.00,0.00,0.00,269.01,881.45,70.77,10.95,0.00,889.48,0.00
Cuba,26120.92,4028.10,5.03,0.00,12283.55,9847.36,16214.63,2635.92,0.00,0.00,1930.23,0.00,0.00,4.16,0.00,0.00,17325.68,2513.97,898.20,26.21,0.00,0.00,5778.60,0.00,8.04,0.00,0.00,0.00,19.16,3544.46,1698.71,843.68,15.47,0.00,0.00,4190.57,0.00
Curaçao,7.80,0.37,0.19,0.00,2.04,3.62,2.23,140.97,0.00,0.00,0.00,0.00,0.00,1.21,0.00,0.00,0.00,2.60,13.10,102.00,0.00,0.00,46.91,0.00,1.86,0.00,0.00,0.00,0.00,0.09,8.08,62.90,0.00,0.00,0.00,68.18,0.00
Cyprus,1563.48,279.31,289.02,137.20,610.26,961.88,0.00,0.62,0.00,0.00,962.33,0.00,0.00,0.00,0.00,0.00,0.00,1381.14,7.42,308.71,0.00,9.55,56.34,0.00,1259.23,0.00,0.00,56.69,0.00,0.00,3.52,346.96,651.92,5.17,0.00,164.80,0.00
Czech Republic,6340.58,26000.64,76.09,0.00,6508.09,287.77,0.00,2849.48,20.85,0.00,17016.34,0.00,0.00,8.02,0.00,0.00,4782.66,4679.55,71.50,0.00,0.00,0.00,5915.24,0.00,48.82,0.00,0.00,0.00,0.00,0.00,80.05,3475.62,0.86,2.38,0.00,593.26,0.00
Côte d'Ivoire,122327.41,4935.37,0.00,258.51,22789.78,16428.32,13445.09,1839.25,0.00,105338.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,513.71,3.21,26183.14,0.00,2651.13,12.66,0.00,0.00,0.00,0.00,0.00,4.14,110.76,21.22,1601.71,0.00,0.00,0.00,2217.79,0.00
Democratic People's Republic of Korea,1099.29,37625.10,0.00,5.93,2486.83,1044.49,0.00,69812.77,520.46,0.00,3349.40,0.00,0.00,1207.47,0.00,0.00,177.82,316.78,18.79,95.24,95.48,570.68,536.78,0.57,227.08,0.00,0.00,0.00,9.22,0.00,64.65,1056.71,174.22,0.00,0.00,1886.38,0.00
Democratic Republic of the Congo,78581.43,91553.96,271.78,7127.23,71777.22,21957.26,1010807.38,222988.19,15885.73,423805.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50008.90,6032.27,44521.21,0.00,100.06,31981.01,0.00,27.44,0.00,0.00,0.00,153008.34,2619.48,49131.98,2084.79,359.68,2.46,0.00,40623.44,0.00
Denmark,7195.93,19154.55,3.11,0.00,4538.02,126.85,0.00,1285.44,0.81,0.00,1666.45,0.00,0.00,0.43,0.00,0.00,633.98,1522.22,355.97,0.00,0.00,0.00,2416.58,0.00,9.24,0.00,0.00,0.00,0.00,0.00,470.38,1663.51,12.85,2.62,5.40,1633.21,0.00
