Country,Artificial Surfaces,Cropland,Grassland,Tree Covered Areas,Shrubs Covered Areas,"Herbaceous vegetation, aquatic or regularly flooded",Mangroves,Sparse vegetation,Baresoil,Snow and glaciers,Waterbodies
Italy,11575.45,152889.66,16818.56,95768.17,10866.89,382.02,0.00,3674.88,4881.59,449.11,3895.22
Jamaica,46.40,1862.74,539.62,8184.88,0.00,1.63,88.75,0.81,2.44,0.00,294.51
Japan,2424.44,72373.23,2610.85,285944.96,9.99,0.00,56.92,71.79,9.21,57.41,9935.61
Jordan,87.48,3211.58,159.95,90.20,5.82,0.00,0.00,4408.97,80278.61,13.21,613.66
Kazakhstan,2651.16,442064.24,299233.58,54494.23,81.07,3196.16,0.00,993654.17,837826.33,1849.64,85522.97
Kenya,460.54,59720.14,208180.89,103093.69,165861.36,12128.43,0.00,407.12,22465.88,0.85,13163.54
Kiribati,0.00,76.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,866.47
Kuwait,511.11,53.14,0.00,0.00,0.74,77.28,0.00,123.99,16616.82,0.00,100.15
Kyrgyzstan,210.94,21313.75,55803.91,7559.66,10.45,1.94,0.00,34874.27,67043.79,4985.47,7162.54
Lao People's Democratic Republic,168.66,11847.07,8508.67,202069.56,1947.68,422.19,0.00,0.00,2106.37,0.00,1023.41
Latvia,788.66,18515.44,7912.57,34653.07,0.00,1409.63,0.00,6.08,0.93,0.00,1294.04
Lebanon,300.74,3073.67,1089.14,2404.60,601.87,2.14,0.00,627.66,1757.82,0.00,134.80
Lesotho,85.86,7079.60,11602.47,0.00,2959.40,0.00,0.00,0.00,8378.29,0.00,1.50
Liberia,8.50,5113.27,11544.82,77730.76,360.28,0.00,120.79,0.00,0.00,0.00,431.73
Libya,1330.14,19709.81,10032.36,21581.13,18488.27,6.03,0.00,46205.07,1505638.99,0.00,1022.30
Liechtenstein,16.98,38.05,19.93,63.26,0.59,0.00,0.00,0.59,0.00,0.00,0.00
Lithuania,1707.77,36442.12,3453.07,21772.96,23.17,473.98,0.00,6.41,14.16,0.00,1035.58
Luxembourg,210.88,1003.98,386.51,1002.78,0.00,0.00,0.00,0.00,0.00,0.00,2.22
Madagascar,42.92,8737.28,322903.37,177529.03,74874.83,0.00,164.40,0.00,0.00,0.00,8723.44
Malawi,628.04,49148.71,6288.88,27272.14,9097.36,3103.32,0.00,0.84,160.00,0.00,23672.24
Malaysia,1139.28,63107.24,42.68,251805.06,663.03,0.00,6826.62,0.00,0.00,0.00,4278.99
Maldives,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,107.40
Mali,421.94,103739.45,241664.49,86186.63,63537.58,7151.12,0.00,20060.89,726295.02,0.00,3466.71
Malta,107.11,148.82,4.87,0.70,2.78,0.00,0.00,19.48,0.70,0.00,44.50
Marshall Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,166.23
Mauritania,24.86,5707.74,158964.76,6741.69,117.53,183.79,0.00,21284.33,842600.72,0.00,915.20
Mauritius,0.00,1391.09,26.52,383.80,12.85,0.00,0.00,0.00,0.00,0.00,201.68
Mexico,8951.95,394897.14,179616.77,589131.98,727203.00,13661.16,8598.77,1.61,14708.84,13.75,21032.36
Micronesia (Federated States of),0.00,0.00,0.00,41.35,0.00,0.00,28.86,0.00,0.00,0.00,560.16
Moldova,274.35,29967.79,343.40,2213.47,0.00,37.37,0.00,119.76,0.00,0.00,245.62
Monaco,6.22,0.62,0.62,8.08,0.62,0.00,0.00,0.00,0.62,0.00,1.87
Mongolia,195.10,18716.60,219495.25,65407.89,55.81,23.08,0.00,373196.89,872163.91,409.58,15011.00
Montenegro,125.42,1009.41,1392.52,10049.32,109.35,111.35,0.00,533.55,117.53,0.00,275.43
Morocco,2082.83,115891.17,10780.13,9538.81,5573.42,0.00,0.00,74873.43,370710.21,0.00,2272.68
Mozambique,500.86,53606.98,74443.63,419437.57,218637.64,64.50,0.00,0.80,8011.01,0.00,13757.47
Myanmar,80.95,197379.66,5041.29,307156.17,139758.74,0.00,3528.06,2.40,94.26,1243.46,8867.21
Namibia,187.38,220.69,589780.70,14598.87,19319.12,654.87,0.00,87610.26,109422.52,0.00,842.08
Nauru,0.00,2.56,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,19.66
Nepal,219.41,44342.65,8085.68,63886.15,12033.09,27.16,0.00,6915.49,2778.30,8632.07,192.77
Netherlands,4813.42,14330.40,11194.86,3082.97,340.71,427.53,0.84,17.78,102.81,0.00,3248.81
New Zealand,303.92,43485.24,61278.37,147180.37,1053.83,0.00,151.51,0.00,786.60,3363.47,10860.67
Nicaragua,23.41,27173.68,9990.08,79600.18,137.06,0.00,896.63,26.76,0.00,0.00,10827.80
Niger,80.06,99543.16,213837.02,3841.68,751.30,174.38,0.00,17039.51,845864.95,0.00,135.55
Nigeria,2160.77,563047.63,61757.46,113525.24,147926.59,79.43,5950.53,3249.30,1502.68,0.00,8284.41
Niue,0.00,0.00,0.00,29.94,0.00,0.00,0.00,0.00,0.00,0.00,187.72
Norway,2105.06,11290.31,505.47,118545.51,44634.93,18835.41,0.00,84882.03,21616.79,59779.62,19904.86
Oman,58.31,652.09,111.61,7.34,2968.33,0.00,3.91,1728.52,304381.68,0.00,1248.86
Pakistan,3541.82,209245.30,32250.58,25122.63,7696.42,101.44,966.07,15117.32,550005.57,23466.66,5330.93
Palau,0.00,0.00,0.00,293.31,0.00,0.00,16.96,0.00,0.00,0.00,185.88
Palestine,32.10,179.81,3101.42,28.33,39.26,0.73,0.00,1363.27,1364.08,0.00,162.21
Panama,119.10,10054.46,11762.76,46958.85,1340.29,0.00,1708.97,0.00,497.27,1.69,2089.02
Papua New Guinea,135.07,12272.28,1028.00,430030.50,7601.70,0.00,1389.09,0.00,21.25,0.00,12720.43
Paraguay,5.41,79955.29,7487.89,251520.88,39445.00,17444.19,0.00,31.51,14.97,0.00,3994.78
Peru,1282.84,44823.83,81142.33,780670.03,185486.86,1642.16,0.00,64984.19,109390.39,2489.53,17920.73
Philippines,1256.29,126616.43,20.92,148007.66,2952.61,0.00,1488.21,0.00,0.00,0.00,12878.80
Poland,9281.69,177418.72,22695.99,98740.14,45.84,896.38,0.00,73.66,43.68,0.00,4223.61
Portugal,2542.18,39918.13,2723.93,37994.34,4733.00,111.47,0.00,1359.64,281.37,16.10,1710.11
Qatar,274.26,60.34,0.00,0.00,4.66,0.00,0.77,17.85,10651.81,0.00,144.54
Republic of Korea (South Korea),320.15,13847.23,577.42,64499.89,0.00,0.00,0.00,16102.06,484.21,0.00,2713.52
Romania,12132.48,113660.76,24036.81,80227.40,648.34,2950.54,0.00,119.09,113.16,0.00,2481.35
Russian Federation,8620.96,1523447.90,3960028.14,9111206.61,402236.91,676100.02,0.00,41101.94,663809.39,65246.74,528281.26
Rwanda,78.60,16271.04,2305.09,1609.96,2514.48,862.87,0.00,5.98,0.00,0.00,1657.31
Saint Kitts and Nevis,0.00,51.48,21.25,145.47,0.00,0.00,0.00,0.00,0.00,0.00,49.85
Saint Lucia,19.10,30.73,11.62,494.09,0.00,0.00,1.66,0.00,0.00,0.00,48.15
Saint Vincent and the Grenadines,0.00,81.60,9.17,187.36,0.00,24.14,0.00,0.00,8.32,0.00,55.81
Samoa,0.00,23.28,1.66,2408.90,0.00,0.00,0.00,0.00,0.00,0.00,344.72
San Marino,5.57,42.75,1.86,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saudi Arabia,2568.58,23475.56,35.98,23.63,1321.54,0.00,119.10,13732.06,1878824.00,0.00,1645.14
Senegal,809.55,48555.89,37754.28,43232.63,54273.39,1135.86,1401.23,1238.12,6125.52,0.00,1722.75
Serbia,2209.77,40944.45,2773.59,30675.21,0.00,114.74,0.00,129.27,5.56,0.00,728.75
Seychelles,0.00,0.00,27.24,146.48,0.00,0.00,0.00,0.00,0.00,0.00,270.19
Sierra Leone,127.64,21460.91,5079.74,40397.76,2995.99,72.65,223.16,0.00,423.83,0.00,816.49
Singapore,298.24,32.47,8.55,125.62,11.96,0.00,0.00,0.00,0.00,0.00,34.18
Slovakia,1976.88,20848.03,2354.93,22848.03,112.20,11.46,0.00,32.14,59.13,0.00,230.87
Slovenia,406.46,5100.89,848.37,13446.92,197.23,22.22,0.00,91.49,181.76,0.00,33.42
Solomon Islands,0.00,298.59,10.99,24399.51,0.00,0.00,152.25,0.00,0.00,0.00,2356.76
Somalia,131.72,15250.54,74905.06,39000.86,351027.14,541.70,5.87,132778.89,23919.64,0.00,1674.00
South Africa,14341.08,166994.24,282332.79,69716.07,618701.62,0.00,0.00,249.06,63698.41,23.53,3734.23
South Sudan,264.89,21875.76,136342.76,216480.46,246468.56,2068.98,0.00,1072.32,1104.58,0.00,1147.54
